reads,556503834,407479587,15829254,91209055,215485161
reads/Sorted_Sample1006_R1_seed0_CPUs42.fasta.gz,1174384,260250,268671,618918,4104541
reads/Sorted_Sample1023_R1_seed0_CPUs42.fasta.gz,3615295,2387677,521825,0,0
reads/Sorted_Sample118_R1_seed0_CPUs36.fasta.gz,1854328,3448007,509687,0,0
reads/Sorted_Sample120_R1_seed0_CPUs42.fasta.gz,274300,0,731321,0,0
reads/Sorted_Sample127_R1_seed0_CPUs42.fasta.gz,4280907,0,34048,0,0
reads/Sorted_Sample134_R1_seed0_CPUs42.fasta.gz,4105684,3706362,0,0,0
reads/Sorted_Sample177_R1_seed0_CPUs42.fasta.gz,708279,0,1333852,0,0
reads/Sorted_Sample215_R1_seed0_CPUs42.fasta.gz,2181060,2604169,0,0,0
reads/Sorted_Sample230_R1_seed0_CPUs42.fasta.gz,2385191,868502,154066,355980,0
reads/Sorted_Sample234_R1_seed0_CPUs42.fasta.gz,6117371,4575760,0,0,0
reads/Sorted_Sample244_R1_seed0_CPUs42.fasta.gz,6196812,3414364,422398,0,0
reads/Sorted_Sample261_R1_seed0_CPUs42.fasta.gz,4757900,26501,0,0,0
reads/Sorted_Sample263_R1_seed0_CPUs42.fasta.gz,1227533,297708,3985,0,7364436
reads/Sorted_Sample290_R1_seed0_CPUs42.fasta.gz,5282477,530360,430752,121903,0
reads/Sorted_Sample302_R1_seed0_CPUs42.fasta.gz,1877998,876543,471990,159017,0
reads/Sorted_Sample321_R1_seed0_CPUs42.fasta.gz,4843477,5439809,0,0,0
reads/Sorted_Sample330_R1_seed0_CPUs42.fasta.gz,6284892,2641575,573323,0,0
reads/Sorted_Sample343_R1_seed0_CPUs42.fasta.gz,5381104,280856,503385,0,0
reads/Sorted_Sample353_R1_seed0_CPUs42.fasta.gz,1936247,360510,324033,1577677,168089
reads/Sorted_Sample371_R1_seed0_CPUs42.fasta.gz,5880541,0,103754,350521,0
reads/Sorted_Sample387_R1_seed0_CPUs42.fasta.gz,2451084,0,47261,716805,0
reads/Sorted_Sample409_R1_seed0_CPUs42.fasta.gz,4978300,70492,90174,780374,0
reads/Sorted_Sample416_R1_seed0_CPUs42.fasta.gz,2768613,125379,251121,0,5468959
reads/Sorted_Sample424_R1_seed0_CPUs42.fasta.gz,673588,2894447,274287,1387489,0
reads/Sorted_Sample427_R1_seed0_CPUs42.fasta.gz,5912031,1166835,424372,0,0
reads/Sorted_Sample454_R1_seed0_CPUs42.fasta.gz,2636356,1380285,479132,0,0
reads/Sorted_Sample477_R1_seed0_CPUs42.fasta.gz,3419427,0,200155,0,0
